"Hotel, City",Review,sentiment_score,Price (INR per night)
"Leela Palace, New Delhi","Excellent sustainable practices, including waste management.",6.413822,28822
"The Leela Goa, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,8.788674,36838
"ITC Gardenia, Goa",The eco-friendly policies of this hotel make the stay even better.,9.150962,44796
"Leela Palace, Kolkata",A perfect mix of luxury and responsibility towards the environment.,3.845869,19821
"The Leela Goa, Pune",A perfect mix of luxury and responsibility towards the environment.,2.313692,38261
"Taj Lake Palace, Goa",I love how this hotel focuses on renewable energy sources.,4.777689,28932
"Taj Lake Palace, Goa",Great hospitality with responsible tourism initiatives.,1.085445,26934
"Taj Lake Palace, Udaipur",The hotel's sustainability initiatives are impressive.,9.294162,21620
"Taj Mahal Palace, Pune",Amazing experience with a conscious approach towards sustainability.,7.251926,42814
"Oberoi Udaivilas, Chennai",A luxurious stay with a strong focus on eco-friendly practices.,7.475029,39080
"JW Marriott Mumbai, New Delhi",I love how this hotel focuses on renewable energy sources.,2.066032,7478
"Taj Lake Palace, New Delhi",Great hospitality with responsible tourism initiatives.,9.89298,47017
"ITC Gardenia, New Delhi",Great hospitality with responsible tourism initiatives.,9.349825,18313
"The Leela Goa, Goa",A breathtaking location with a strong emphasis on green energy.,3.603586,28284
"The Oberoi Bangalore, Goa",The hotel's commitment to sustainability is commendable.,7.135411,16550
"ITC Gardenia, Jaipur",Great hospitality with responsible tourism initiatives.,2.62054,34488
"Taj Lake Palace, Goa","Excellent sustainable practices, including waste management.",3.181527,46459
"The Oberoi Bangalore, Udaipur",A breathtaking location with a strong emphasis on green energy.,8.277193,48157
"Radisson Blu Jaipur, Mumbai",A luxurious stay with a strong focus on eco-friendly practices.,5.946383,11808
"The Oberoi Bangalore, Kolkata",The eco-friendly policies of this hotel make the stay even better.,9.919108,28262
"Taj Mahal Palace, Pune",A luxurious stay with a strong focus on eco-friendly practices.,6.056253,15307
"The Leela Goa, Bangalore",A perfect mix of luxury and responsibility towards the environment.,1.389195,46000
"Hyatt Regency Chennai, Mumbai",The hotel's commitment to sustainability is commendable.,7.712558,14948
"Leela Palace, Pune",A breathtaking location with a strong emphasis on green energy.,8.473769,14112
"JW Marriott Mumbai, New Delhi",A luxurious stay with a strong focus on eco-friendly practices.,3.570103,31802
"ITC Gardenia, Pune",A luxurious stay with a strong focus on eco-friendly practices.,9.339649,22609
"Hyatt Regency Chennai, Udaipur",Amazing experience with a conscious approach towards sustainability.,4.244956,30538
"Radisson Blu Jaipur, Mumbai",Great hospitality with responsible tourism initiatives.,4.566734,27078
"Taj Lake Palace, Goa",Great hospitality with responsible tourism initiatives.,4.490091,43758
"ITC Gardenia, Pune",A breathtaking location with a strong emphasis on green energy.,3.519313,36895
"Leela Palace, Mumbai",A luxurious stay with a strong focus on eco-friendly practices.,3.67305,42029
"JW Marriott Mumbai, Chennai",A perfect mix of luxury and responsibility towards the environment.,3.38637,21011
"ITC Gardenia, Mumbai",Amazing experience with a conscious approach towards sustainability.,1.653641,27230
"Taj Lake Palace, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,9.375402,10750
"The Oberoi Bangalore, Bangalore",The hotel's commitment to sustainability is commendable.,1.644672,32931
"ITC Gardenia, Kolkata","Excellent sustainable practices, including waste management.",3.39296,7384
"The Oberoi Bangalore, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,5.873373,40275
"Leela Palace, Jaipur",The hotel's sustainability initiatives are impressive.,1.180369,26855
"Oberoi Udaivilas, Pune","Excellent sustainable practices, including waste management.",1.952424,40357
"The Leela Goa, New Delhi",A perfect mix of luxury and responsibility towards the environment.,8.47535,36861
"Radisson Blu Jaipur, Jaipur",A breathtaking location with a strong emphasis on green energy.,5.713023,30835
"Radisson Blu Jaipur, Chennai",The eco-friendly policies of this hotel make the stay even better.,1.995569,35661
"Taj Lake Palace, Jaipur",The hotel's sustainability initiatives are impressive.,4.648177,33610
"JW Marriott Mumbai, Udaipur",Amazing experience with a conscious approach towards sustainability.,9.640799,15755
"Oberoi Udaivilas, Mumbai",The eco-friendly policies of this hotel make the stay even better.,9.233061,31609
"JW Marriott Mumbai, Jaipur",A luxurious stay with a strong focus on eco-friendly practices.,3.779509,9006
"Hyatt Regency Chennai, Hyderabad",Amazing experience with a conscious approach towards sustainability.,6.399602,48321
"The Leela Goa, Jaipur",A perfect mix of luxury and responsibility towards the environment.,3.777923,44799
"Leela Palace, Chennai",The eco-friendly policies of this hotel make the stay even better.,1.700536,14845
"Taj Lake Palace, Hyderabad",Great hospitality with responsible tourism initiatives.,7.582182,46330
"The Oberoi Bangalore, Pune",The hotel's commitment to sustainability is commendable.,6.43161,8444
"Taj Lake Palace, Pune",The hotel's sustainability initiatives are impressive.,6.066782,22145
"ITC Gardenia, Mumbai",The hotel's sustainability initiatives are impressive.,4.597456,34386
"Radisson Blu Jaipur, Udaipur",The hotel's sustainability initiatives are impressive.,8.084158,30210
"Radisson Blu Jaipur, Kolkata",The hotel's sustainability initiatives are impressive.,2.754424,47427
"The Oberoi Bangalore, Goa",The hotel's commitment to sustainability is commendable.,8.862118,9593
"The Leela Goa, Udaipur",Amazing experience with a conscious approach towards sustainability.,7.881074,16221
"The Leela Goa, Goa",A luxurious stay with a strong focus on eco-friendly practices.,4.07079,22267
"Radisson Blu Jaipur, Jaipur",I love how this hotel focuses on renewable energy sources.,1.809975,42484
"Taj Lake Palace, Goa","Excellent sustainable practices, including waste management.",5.485617,12383
"The Leela Goa, Goa",A luxurious stay with a strong focus on eco-friendly practices.,7.657651,28044
"The Leela Goa, Pune",A perfect mix of luxury and responsibility towards the environment.,1.804478,49549
"Radisson Blu Jaipur, Mumbai",Great hospitality with responsible tourism initiatives.,4.644469,16478
"Leela Palace, New Delhi",The hotel's commitment to sustainability is commendable.,4.023653,16072
"Hyatt Regency Chennai, Udaipur",The eco-friendly policies of this hotel make the stay even better.,5.163047,36538
"ITC Gardenia, Bangalore",A breathtaking location with a strong emphasis on green energy.,5.441629,5417
"Hyatt Regency Chennai, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,2.739853,34703
"Taj Mahal Palace, New Delhi","Excellent sustainable practices, including waste management.",8.102035,42255
"The Oberoi Bangalore, Chennai",A breathtaking location with a strong emphasis on green energy.,7.833781,27319
"Leela Palace, Mumbai",Great hospitality with responsible tourism initiatives.,4.921392,23350
"Taj Mahal Palace, Kolkata",A breathtaking location with a strong emphasis on green energy.,6.197203,47243
"Taj Mahal Palace, Bangalore",I love how this hotel focuses on renewable energy sources.,7.396636,29078
"Oberoi Udaivilas, Udaipur",A luxurious stay with a strong focus on eco-friendly practices.,8.157807,47001
"Taj Mahal Palace, Udaipur",The hotel's sustainability initiatives are impressive.,9.001971,21505
"Hyatt Regency Chennai, Mumbai","Excellent sustainable practices, including waste management.",7.834869,5041
"Taj Lake Palace, Chennai",The eco-friendly policies of this hotel make the stay even better.,7.183074,24687
"Oberoi Udaivilas, Goa",The hotel's sustainability initiatives are impressive.,9.798873,41643
"Radisson Blu Jaipur, New Delhi",A luxurious stay with a strong focus on eco-friendly practices.,7.536283,14151
"Taj Mahal Palace, Bangalore",A perfect mix of luxury and responsibility towards the environment.,1.345544,30873
"ITC Gardenia, Hyderabad",The hotel's commitment to sustainability is commendable.,4.472194,39575
"ITC Gardenia, Jaipur",A perfect mix of luxury and responsibility towards the environment.,3.062492,22789
"ITC Gardenia, Mumbai",Great hospitality with responsible tourism initiatives.,2.493851,46472
"ITC Gardenia, Goa",A luxurious stay with a strong focus on eco-friendly practices.,3.125054,22239
"Hyatt Regency Chennai, Mumbai",Great hospitality with responsible tourism initiatives.,8.296895,10376
"Leela Palace, Chennai",A perfect mix of luxury and responsibility towards the environment.,7.816569,5559
"JW Marriott Mumbai, Goa",The eco-friendly policies of this hotel make the stay even better.,9.535013,39866
"The Leela Goa, Jaipur","Excellent sustainable practices, including waste management.",2.584353,37498
"Radisson Blu Jaipur, Udaipur",The hotel's sustainability initiatives are impressive.,4.922372,33862
"Radisson Blu Jaipur, Bangalore",I love how this hotel focuses on renewable energy sources.,5.313884,35103
"Taj Lake Palace, Kolkata",The hotel's commitment to sustainability is commendable.,2.906692,45951
"Hyatt Regency Chennai, Jaipur",A perfect mix of luxury and responsibility towards the environment.,6.108569,27336
"ITC Gardenia, Pune",A perfect mix of luxury and responsibility towards the environment.,9.242069,41366
"Oberoi Udaivilas, Pune",A luxurious stay with a strong focus on eco-friendly practices.,7.351651,36106
"The Oberoi Bangalore, Goa",A luxurious stay with a strong focus on eco-friendly practices.,5.676136,11335
"Taj Mahal Palace, Mumbai","Excellent sustainable practices, including waste management.",8.825328,47804
"ITC Gardenia, Udaipur",Amazing experience with a conscious approach towards sustainability.,9.080561,46604
"Radisson Blu Jaipur, Chennai",Great hospitality with responsible tourism initiatives.,1.875965,36674
"The Oberoi Bangalore, Hyderabad",Great hospitality with responsible tourism initiatives.,2.923472,24121
"ITC Gardenia, Goa","Excellent sustainable practices, including waste management.",1.16455,31147
"Oberoi Udaivilas, Jaipur",The hotel's commitment to sustainability is commendable.,6.456583,29453
"Hyatt Regency Chennai, Udaipur",The eco-friendly policies of this hotel make the stay even better.,3.210497,9054
"The Leela Goa, New Delhi",I love how this hotel focuses on renewable energy sources.,1.31526,38396
"JW Marriott Mumbai, Kolkata",A perfect mix of luxury and responsibility towards the environment.,8.914696,46030
"Taj Mahal Palace, Mumbai",A breathtaking location with a strong emphasis on green energy.,3.491756,38092
"The Leela Goa, Hyderabad",The hotel's sustainability initiatives are impressive.,4.452335,6052
"Leela Palace, Bangalore",The eco-friendly policies of this hotel make the stay even better.,6.444004,45916
"JW Marriott Mumbai, Hyderabad","Excellent sustainable practices, including waste management.",9.743195,36337
"Hyatt Regency Chennai, Mumbai",The hotel's commitment to sustainability is commendable.,5.166169,33392
"ITC Gardenia, Udaipur",A breathtaking location with a strong emphasis on green energy.,7.146606,8678
"Oberoi Udaivilas, Goa",The eco-friendly policies of this hotel make the stay even better.,4.32343,6119
"Taj Mahal Palace, Mumbai",A luxurious stay with a strong focus on eco-friendly practices.,7.089355,12236
"Leela Palace, Chennai",The eco-friendly policies of this hotel make the stay even better.,1.131979,8169
"Leela Palace, Chennai",The eco-friendly policies of this hotel make the stay even better.,9.642803,24555
"ITC Gardenia, Bangalore",The hotel's sustainability initiatives are impressive.,3.725696,11952
"Oberoi Udaivilas, Jaipur",A luxurious stay with a strong focus on eco-friendly practices.,3.633741,22149
"Oberoi Udaivilas, Goa",Great hospitality with responsible tourism initiatives.,5.602115,44799
"ITC Gardenia, Kolkata",The hotel's commitment to sustainability is commendable.,6.645105,47632
"ITC Gardenia, Bangalore","Excellent sustainable practices, including waste management.",6.344579,44957
"Taj Mahal Palace, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,5.148998,49636
"Radisson Blu Jaipur, Chennai",Amazing experience with a conscious approach towards sustainability.,2.518851,5017
"The Oberoi Bangalore, Goa",Amazing experience with a conscious approach towards sustainability.,3.056506,37426
"Radisson Blu Jaipur, Jaipur","Excellent sustainable practices, including waste management.",5.382401,33530
"Hyatt Regency Chennai, Jaipur",A breathtaking location with a strong emphasis on green energy.,3.171295,46425
"Radisson Blu Jaipur, New Delhi",Amazing experience with a conscious approach towards sustainability.,6.646488,41995
"The Oberoi Bangalore, Bangalore","Excellent sustainable practices, including waste management.",1.068917,23964
"JW Marriott Mumbai, Chennai",A breathtaking location with a strong emphasis on green energy.,8.811637,5022
"Radisson Blu Jaipur, Chennai",The hotel's sustainability initiatives are impressive.,5.626943,16531
"Leela Palace, Hyderabad",The hotel's commitment to sustainability is commendable.,4.471385,21856
"Taj Mahal Palace, New Delhi",A luxurious stay with a strong focus on eco-friendly practices.,1.952315,34309
"Taj Mahal Palace, Goa",A perfect mix of luxury and responsibility towards the environment.,2.711376,40144
"The Leela Goa, Udaipur",A luxurious stay with a strong focus on eco-friendly practices.,8.117166,27311
"JW Marriott Mumbai, Jaipur",Great hospitality with responsible tourism initiatives.,7.481467,46081
"Radisson Blu Jaipur, Pune",I love how this hotel focuses on renewable energy sources.,7.944498,43692
"The Leela Goa, Udaipur",The eco-friendly policies of this hotel make the stay even better.,9.03481,18331
"Radisson Blu Jaipur, Kolkata",The hotel's sustainability initiatives are impressive.,4.304785,45040
"Radisson Blu Jaipur, Mumbai",The hotel's commitment to sustainability is commendable.,2.459821,17805
"Leela Palace, Pune",A perfect mix of luxury and responsibility towards the environment.,2.440896,6726
"Oberoi Udaivilas, Bangalore",The hotel's commitment to sustainability is commendable.,4.891661,6852
"The Oberoi Bangalore, Goa",The eco-friendly policies of this hotel make the stay even better.,8.358484,48826
"The Oberoi Bangalore, Chennai",Great hospitality with responsible tourism initiatives.,7.325649,40274
"Taj Lake Palace, Jaipur",The hotel's sustainability initiatives are impressive.,1.962223,41644
"Hyatt Regency Chennai, New Delhi",I love how this hotel focuses on renewable energy sources.,2.990699,9623
"The Oberoi Bangalore, Udaipur",A perfect mix of luxury and responsibility towards the environment.,7.369491,49962
"Taj Mahal Palace, Hyderabad",Great hospitality with responsible tourism initiatives.,1.992613,32521
"The Leela Goa, New Delhi",The eco-friendly policies of this hotel make the stay even better.,6.194095,28003
"JW Marriott Mumbai, Goa",I love how this hotel focuses on renewable energy sources.,2.861617,25079
"Taj Mahal Palace, Hyderabad",The hotel's sustainability initiatives are impressive.,5.49741,23653
"Oberoi Udaivilas, Jaipur",A breathtaking location with a strong emphasis on green energy.,1.827866,24040
"Taj Lake Palace, Jaipur",The eco-friendly policies of this hotel make the stay even better.,5.763581,18302
"JW Marriott Mumbai, Bangalore",The hotel's commitment to sustainability is commendable.,1.575052,46300
"Taj Mahal Palace, Pune",Great hospitality with responsible tourism initiatives.,4.987955,24908
"Hyatt Regency Chennai, Udaipur",A breathtaking location with a strong emphasis on green energy.,7.163476,26259
"ITC Gardenia, Udaipur",The hotel's commitment to sustainability is commendable.,9.715335,29371
"ITC Gardenia, New Delhi",Amazing experience with a conscious approach towards sustainability.,3.614698,38892
"Leela Palace, Bangalore",I love how this hotel focuses on renewable energy sources.,4.23849,28282
"Hyatt Regency Chennai, Mumbai",Great hospitality with responsible tourism initiatives.,7.956006,24562
"The Leela Goa, Goa",A luxurious stay with a strong focus on eco-friendly practices.,7.614142,6834
"Leela Palace, Pune",A luxurious stay with a strong focus on eco-friendly practices.,7.104938,40710
"Hyatt Regency Chennai, Jaipur",A luxurious stay with a strong focus on eco-friendly practices.,3.244549,35894
"Radisson Blu Jaipur, New Delhi",A luxurious stay with a strong focus on eco-friendly practices.,5.369334,29224
"ITC Gardenia, Chennai",A luxurious stay with a strong focus on eco-friendly practices.,3.183841,29844
"Taj Lake Palace, Bangalore",The hotel's commitment to sustainability is commendable.,5.251946,31343
"Leela Palace, Mumbai",Great hospitality with responsible tourism initiatives.,9.255265,41792
"The Oberoi Bangalore, Goa",Amazing experience with a conscious approach towards sustainability.,7.225277,5035
"Taj Mahal Palace, Hyderabad",Great hospitality with responsible tourism initiatives.,8.008094,47078
"ITC Gardenia, New Delhi","Excellent sustainable practices, including waste management.",8.274317,16107
"The Oberoi Bangalore, Mumbai",Amazing experience with a conscious approach towards sustainability.,9.805021,32209
"ITC Gardenia, Hyderabad",A breathtaking location with a strong emphasis on green energy.,3.933486,22945
"Oberoi Udaivilas, Chennai",The hotel's commitment to sustainability is commendable.,1.306368,28171
"Taj Mahal Palace, Pune",I love how this hotel focuses on renewable energy sources.,3.567322,49872
"The Oberoi Bangalore, Chennai",The hotel's sustainability initiatives are impressive.,4.884801,10680
"Taj Lake Palace, Hyderabad","Excellent sustainable practices, including waste management.",4.20708,27340
"Leela Palace, New Delhi",A luxurious stay with a strong focus on eco-friendly practices.,7.970681,44980
"Radisson Blu Jaipur, New Delhi",Amazing experience with a conscious approach towards sustainability.,9.583701,5230
"Taj Mahal Palace, Chennai",The hotel's sustainability initiatives are impressive.,5.40026,6047
"JW Marriott Mumbai, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,7.559116,25077
"Oberoi Udaivilas, Hyderabad","Excellent sustainable practices, including waste management.",7.850089,48335
"Leela Palace, Udaipur",A luxurious stay with a strong focus on eco-friendly practices.,8.694659,12641
"Leela Palace, New Delhi",A breathtaking location with a strong emphasis on green energy.,5.474826,15359
"Leela Palace, Udaipur","Excellent sustainable practices, including waste management.",2.770006,18764
"Leela Palace, Bangalore","Excellent sustainable practices, including waste management.",1.253174,43622
"Taj Lake Palace, New Delhi",I love how this hotel focuses on renewable energy sources.,4.18607,13883
"Leela Palace, Mumbai",The hotel's commitment to sustainability is commendable.,8.261115,9352
"ITC Gardenia, Kolkata",The hotel's commitment to sustainability is commendable.,3.69567,47974
"The Leela Goa, Pune",Great hospitality with responsible tourism initiatives.,9.449385,30741
"Leela Palace, Kolkata",A breathtaking location with a strong emphasis on green energy.,2.308425,22401
"Oberoi Udaivilas, New Delhi",A perfect mix of luxury and responsibility towards the environment.,7.990256,38719
"Leela Palace, Jaipur",The eco-friendly policies of this hotel make the stay even better.,4.588543,16963
"Taj Mahal Palace, Jaipur","Excellent sustainable practices, including waste management.",8.859234,28776
"Hyatt Regency Chennai, Bangalore",I love how this hotel focuses on renewable energy sources.,6.425362,25797
"The Oberoi Bangalore, Udaipur",I love how this hotel focuses on renewable energy sources.,4.5099,7258
"Hyatt Regency Chennai, Udaipur",Great hospitality with responsible tourism initiatives.,2.531696,47107
"Radisson Blu Jaipur, Goa",The hotel's commitment to sustainability is commendable.,7.444748,47524
"JW Marriott Mumbai, Jaipur",A perfect mix of luxury and responsibility towards the environment.,1.031743,18799
"Taj Mahal Palace, Udaipur",A luxurious stay with a strong focus on eco-friendly practices.,1.049878,43161
"The Oberoi Bangalore, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,3.502642,17501
"The Oberoi Bangalore, Goa",Great hospitality with responsible tourism initiatives.,7.784114,34893
"Taj Lake Palace, Mumbai",The hotel's commitment to sustainability is commendable.,9.221245,35736
"Oberoi Udaivilas, Goa",A breathtaking location with a strong emphasis on green energy.,9.654259,7293
"Oberoi Udaivilas, Bangalore",The eco-friendly policies of this hotel make the stay even better.,6.760825,20349
"Radisson Blu Jaipur, Kolkata",A perfect mix of luxury and responsibility towards the environment.,2.650383,21992
"Taj Mahal Palace, Udaipur",Amazing experience with a conscious approach towards sustainability.,2.503174,33479
"JW Marriott Mumbai, Goa",A perfect mix of luxury and responsibility towards the environment.,5.874344,42239
"Radisson Blu Jaipur, Udaipur",Great hospitality with responsible tourism initiatives.,5.306713,24565
"ITC Gardenia, Chennai",A perfect mix of luxury and responsibility towards the environment.,3.037719,46308
"Radisson Blu Jaipur, New Delhi",Amazing experience with a conscious approach towards sustainability.,9.378496,42806
"The Leela Goa, Kolkata",A breathtaking location with a strong emphasis on green energy.,8.695718,14152
"Oberoi Udaivilas, Chennai","Excellent sustainable practices, including waste management.",9.615669,38691
"Taj Lake Palace, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,8.239034,18149
"JW Marriott Mumbai, Udaipur",Amazing experience with a conscious approach towards sustainability.,4.152363,37407
"ITC Gardenia, Pune",A breathtaking location with a strong emphasis on green energy.,7.768828,47422
"The Oberoi Bangalore, Goa",A luxurious stay with a strong focus on eco-friendly practices.,4.096477,49193
"The Leela Goa, Bangalore",The hotel's sustainability initiatives are impressive.,5.937063,21835
"The Leela Goa, Hyderabad",A perfect mix of luxury and responsibility towards the environment.,8.725,46196
"Hyatt Regency Chennai, Pune",The hotel's commitment to sustainability is commendable.,2.181462,38436
"Taj Mahal Palace, Hyderabad",The hotel's commitment to sustainability is commendable.,8.914185,7612
"Taj Mahal Palace, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,5.701356,20575
"Hyatt Regency Chennai, Chennai",A luxurious stay with a strong focus on eco-friendly practices.,9.106178,35286
"Radisson Blu Jaipur, Jaipur",A perfect mix of luxury and responsibility towards the environment.,9.658408,39449
"Leela Palace, Goa",I love how this hotel focuses on renewable energy sources.,6.477303,31411
"Oberoi Udaivilas, Goa",Amazing experience with a conscious approach towards sustainability.,2.716396,39208
"ITC Gardenia, Chennai",The eco-friendly policies of this hotel make the stay even better.,6.012923,44687
"JW Marriott Mumbai, Chennai","Excellent sustainable practices, including waste management.",2.671656,49556
"Hyatt Regency Chennai, Pune",The hotel's sustainability initiatives are impressive.,1.314629,48558
"JW Marriott Mumbai, Udaipur","Excellent sustainable practices, including waste management.",2.533753,44910
"Leela Palace, Jaipur",Amazing experience with a conscious approach towards sustainability.,7.871549,6304
"The Leela Goa, Goa",A luxurious stay with a strong focus on eco-friendly practices.,4.973569,7927
"Radisson Blu Jaipur, Kolkata",A breathtaking location with a strong emphasis on green energy.,9.189576,32441
"JW Marriott Mumbai, Hyderabad",A perfect mix of luxury and responsibility towards the environment.,9.892329,40490
"Taj Lake Palace, Chennai",The hotel's sustainability initiatives are impressive.,6.025742,30586
"The Oberoi Bangalore, New Delhi","Excellent sustainable practices, including waste management.",6.304753,35208
"ITC Gardenia, Kolkata",The eco-friendly policies of this hotel make the stay even better.,7.835969,11918
"Taj Mahal Palace, Bangalore",I love how this hotel focuses on renewable energy sources.,5.758803,15677
"Taj Mahal Palace, Udaipur",A breathtaking location with a strong emphasis on green energy.,9.71864,25336
"The Oberoi Bangalore, Pune","Excellent sustainable practices, including waste management.",2.086113,24682
"Taj Lake Palace, Jaipur","Excellent sustainable practices, including waste management.",7.269904,24939
"The Leela Goa, Goa",A perfect mix of luxury and responsibility towards the environment.,6.478779,11790
"ITC Gardenia, Hyderabad",The eco-friendly policies of this hotel make the stay even better.,8.401804,13025
"Oberoi Udaivilas, Jaipur",A perfect mix of luxury and responsibility towards the environment.,8.932907,10919
"The Oberoi Bangalore, Udaipur",I love how this hotel focuses on renewable energy sources.,5.285592,13287
"Leela Palace, Kolkata",A perfect mix of luxury and responsibility towards the environment.,4.506838,23939
"Taj Lake Palace, New Delhi",I love how this hotel focuses on renewable energy sources.,7.104459,19696
"JW Marriott Mumbai, Jaipur",The hotel's sustainability initiatives are impressive.,3.465656,21304
"Oberoi Udaivilas, Jaipur",The hotel's commitment to sustainability is commendable.,4.770781,37034
"Hyatt Regency Chennai, Goa",Amazing experience with a conscious approach towards sustainability.,8.783227,33731
"ITC Gardenia, Hyderabad",I love how this hotel focuses on renewable energy sources.,6.961357,11176
"Radisson Blu Jaipur, Goa",The eco-friendly policies of this hotel make the stay even better.,7.577395,20404
"Hyatt Regency Chennai, Hyderabad",A luxurious stay with a strong focus on eco-friendly practices.,8.843446,5487
"Radisson Blu Jaipur, Pune",Great hospitality with responsible tourism initiatives.,2.067135,6874
"The Leela Goa, Kolkata",A luxurious stay with a strong focus on eco-friendly practices.,4.75379,25997
"Radisson Blu Jaipur, Chennai",The hotel's commitment to sustainability is commendable.,2.583276,30676
"Taj Lake Palace, Bangalore",A luxurious stay with a strong focus on eco-friendly practices.,7.845213,7623
"JW Marriott Mumbai, Jaipur",Amazing experience with a conscious approach towards sustainability.,7.371144,38232
"Leela Palace, Mumbai","Excellent sustainable practices, including waste management.",2.544136,30683
"Taj Lake Palace, Bangalore",Amazing experience with a conscious approach towards sustainability.,5.559151,44790
"Taj Lake Palace, Jaipur",Amazing experience with a conscious approach towards sustainability.,1.549889,11542
"Leela Palace, Pune",The hotel's commitment to sustainability is commendable.,2.617836,8877
"Taj Mahal Palace, Mumbai",A breathtaking location with a strong emphasis on green energy.,4.349356,42884
"The Leela Goa, Udaipur","Excellent sustainable practices, including waste management.",8.750048,46482
"Leela Palace, Chennai",A breathtaking location with a strong emphasis on green energy.,4.595018,42181
"JW Marriott Mumbai, Goa","Excellent sustainable practices, including waste management.",3.075646,11888
"JW Marriott Mumbai, Udaipur",A breathtaking location with a strong emphasis on green energy.,6.304902,33153
"Leela Palace, Udaipur",Great hospitality with responsible tourism initiatives.,7.842519,36092
"JW Marriott Mumbai, Pune",The hotel's sustainability initiatives are impressive.,1.094552,27206
"Taj Mahal Palace, Mumbai",Amazing experience with a conscious approach towards sustainability.,4.126486,20912
"Taj Mahal Palace, Mumbai",A perfect mix of luxury and responsibility towards the environment.,3.436423,5768
"Taj Lake Palace, Chennai",Great hospitality with responsible tourism initiatives.,7.697435,8855
"The Oberoi Bangalore, Pune",Amazing experience with a conscious approach towards sustainability.,5.556056,10767
"JW Marriott Mumbai, Pune",Great hospitality with responsible tourism initiatives.,2.317708,43333
"JW Marriott Mumbai, Mumbai","Excellent sustainable practices, including waste management.",2.921745,11800
"Radisson Blu Jaipur, Hyderabad",Great hospitality with responsible tourism initiatives.,9.632597,22815
"Hyatt Regency Chennai, Udaipur",A perfect mix of luxury and responsibility towards the environment.,7.412483,15267
"Oberoi Udaivilas, Kolkata",I love how this hotel focuses on renewable energy sources.,4.446119,43181
"Taj Mahal Palace, Goa",Great hospitality with responsible tourism initiatives.,8.559485,31859
"ITC Gardenia, Kolkata",I love how this hotel focuses on renewable energy sources.,1.323469,16376
"JW Marriott Mumbai, Bangalore",A perfect mix of luxury and responsibility towards the environment.,5.433511,12397
"Taj Lake Palace, Udaipur",A luxurious stay with a strong focus on eco-friendly practices.,1.244549,30607
"ITC Gardenia, Chennai",A luxurious stay with a strong focus on eco-friendly practices.,6.28443,42898
"The Leela Goa, New Delhi",A perfect mix of luxury and responsibility towards the environment.,6.350972,30184
"The Leela Goa, Mumbai",Amazing experience with a conscious approach towards sustainability.,4.322261,21139
"The Leela Goa, Kolkata",The hotel's sustainability initiatives are impressive.,4.214089,24354
"Leela Palace, Jaipur",The hotel's commitment to sustainability is commendable.,9.930375,45598
"The Leela Goa, Hyderabad",A perfect mix of luxury and responsibility towards the environment.,9.018068,45023
"Hyatt Regency Chennai, Kolkata",The eco-friendly policies of this hotel make the stay even better.,7.779669,14028
"Taj Mahal Palace, Chennai",The hotel's sustainability initiatives are impressive.,4.636285,20484
"Oberoi Udaivilas, Mumbai",The hotel's sustainability initiatives are impressive.,2.332198,19287
"JW Marriott Mumbai, Hyderabad","Excellent sustainable practices, including waste management.",4.795984,29484
"Leela Palace, Hyderabad","Excellent sustainable practices, including waste management.",1.34683,24727
"Taj Lake Palace, Pune","Excellent sustainable practices, including waste management.",2.497307,45550
"The Oberoi Bangalore, Hyderabad",The hotel's commitment to sustainability is commendable.,9.607009,16656
"Taj Mahal Palace, Chennai","Excellent sustainable practices, including waste management.",9.472797,10391
"Oberoi Udaivilas, Udaipur",A perfect mix of luxury and responsibility towards the environment.,3.898042,43413
"Taj Mahal Palace, Udaipur",The eco-friendly policies of this hotel make the stay even better.,4.54259,23277
"Oberoi Udaivilas, Pune",Great hospitality with responsible tourism initiatives.,1.325116,33453
"The Oberoi Bangalore, Kolkata",Great hospitality with responsible tourism initiatives.,3.57426,16515
"Radisson Blu Jaipur, Jaipur",A perfect mix of luxury and responsibility towards the environment.,5.527641,15805
"Hyatt Regency Chennai, Goa",The hotel's commitment to sustainability is commendable.,3.330325,39011
"Taj Lake Palace, Udaipur",The hotel's sustainability initiatives are impressive.,7.436939,31955
"ITC Gardenia, Kolkata",A breathtaking location with a strong emphasis on green energy.,8.542152,18256
"Leela Palace, Goa",A perfect mix of luxury and responsibility towards the environment.,8.636087,22514
"The Oberoi Bangalore, New Delhi",The hotel's sustainability initiatives are impressive.,9.574131,48432
"The Leela Goa, Pune",A perfect mix of luxury and responsibility towards the environment.,8.138391,6836
"Leela Palace, Goa",A breathtaking location with a strong emphasis on green energy.,5.817464,14343
"Leela Palace, Udaipur",The eco-friendly policies of this hotel make the stay even better.,7.01501,33497
"Leela Palace, Bangalore","Excellent sustainable practices, including waste management.",2.69775,36837
"Oberoi Udaivilas, New Delhi",Amazing experience with a conscious approach towards sustainability.,6.48512,48576
